Province,Occupation,Income
Newfoundland and Labrador,Legislative and senior management,97000
Newfoundland and Labrador,"Business, finance and administration",47200
Newfoundland and Labrador,Natural and applied sciences,78500
Newfoundland and Labrador,Health,55200
Newfoundland and Labrador,"Education, Law and Public Services",44800
Newfoundland and Labrador,"Art, Culture, Recreation and Sport",14200
Newfoundland and Labrador,Sales and service,20000
Newfoundland and Labrador,"Trades, Transport and Equipment operators ",42800
Newfoundland and Labrador,"Natural resources, Agriculture and Production",25000
Newfoundland and Labrador,Manufacturing and Utilities,21200
Prince Edward Island,Legislative and senior management,84000
Prince Edward Island,"Business, finance and administration",46400
Prince Edward Island,Natural and applied sciences,58800
Prince Edward Island,Health,47200
Prince Edward Island,"Education, Law and Public Services",47600
Prince Edward Island,"Art, Culture, Recreation and Sport",15400
Prince Edward Island,Sales and service,19400
Prince Edward Island,"Trades, Transport and Equipment operators ",36800
Prince Edward Island,"Natural resources, Agriculture and Production",20000
Prince Edward Island,Manufacturing and Utilities,32000
Nova Scotia,Legislative and senior management,99000
Nova Scotia,"Business, finance and administration",44800
Nova Scotia,Natural and applied sciences,67500
Nova Scotia,Health,48400
Nova Scotia,"Education, Law and Public Services",54800
Nova Scotia,"Art, Culture, Recreation and Sport",17000
Nova Scotia,Sales and service,20000
Nova Scotia,"Trades, Transport and Equipment operators ",41200
Nova Scotia,"Natural resources, Agriculture and Production",23000
Nova Scotia,Manufacturing and Utilities,36000
New Brunswick,Legislative and senior management,87000
New Brunswick,"Business, finance and administration",45200
New Brunswick,Natural and applied sciences,64500
New Brunswick,Health,46400
New Brunswick,"Education, Law and Public Services",50000
New Brunswick,"Art, Culture, Recreation and Sport",19000
New Brunswick,Sales and service,21200
New Brunswick,"Trades, Transport and Equipment operators ",38800
New Brunswick,"Natural resources, Agriculture and Production",20800
New Brunswick,Manufacturing and Utilities,32400
Quebec,Legislative and senior management,79500
Quebec,"Business, finance and administration",46800
Quebec,Natural and applied sciences,67500
Quebec,Health,49200
Quebec,"Education, Law and Public Services",49200
Quebec,"Art, Culture, Recreation and Sport",28800
Quebec,Sales and service,20400
Quebec,"Trades, Transport and Equipment operators ",43600
Quebec,"Natural resources, Agriculture and Production",23000
Quebec,Manufacturing and Utilities,38800
Ontario,Legislative and senior management,126000
Ontario,"Business, finance and administration",53200
Ontario,Natural and applied sciences,78500
Ontario,Health,52400
Ontario,"Education, Law and Public Services",58800
Ontario,"Art, Culture, Recreation and Sport",23000
Ontario,Sales and service,21600
Ontario,"Trades, Transport and Equipment operators ",44800
Ontario,"Natural resources, Agriculture and Production",22200
Ontario,Manufacturing and Utilities,43600
Manitoba,Legislative and senior management,100000
Manitoba,"Business, finance and administration",45600
Manitoba,Natural and applied sciences,68500
Manitoba,Health,49200
Manitoba,"Education, Law and Public Services",48000
Manitoba,"Art, Culture, Recreation and Sport",21800
Manitoba,Sales and service,21400
Manitoba,"Trades, Transport and Equipment operators ",44400
Manitoba,"Natural resources, Agriculture and Production",23800
Manitoba,Manufacturing and Utilities,42400
Saskatchewan,Legislative and senior management,94000
Saskatchewan,"Business, finance and administration",49200
Saskatchewan,Natural and applied sciences,76000
Saskatchewan,Health,53600
Saskatchewan,"Education, Law and Public Services",54800
Saskatchewan,"Art, Culture, Recreation and Sport",20000
Saskatchewan,Sales and service,23200
Saskatchewan,"Trades, Transport and Equipment operators ",50000
Saskatchewan,"Natural resources, Agriculture and Production",25000
Saskatchewan,Manufacturing and Utilities,54800
Alberta,Legislative and senior management,123000
Alberta,"Business, finance and administration",53600
Alberta,Natural and applied sciences,83000
Alberta,Health,56400
Alberta,"Education, Law and Public Services",59200
Alberta,"Art, Culture, Recreation and Sport",21200
Alberta,Sales and service,24600
Alberta,"Trades, Transport and Equipment operators ",54000
Alberta,"Natural resources, Agriculture and Production",31000
Alberta,Manufacturing and Utilities,58000
British Columbia,Legislative and senior management,108000
British Columbia,"Business, finance and administration",48800
British Columbia,Natural and applied sciences,75000
British Columbia,Health,55600
British Columbia,"Education, Law and Public Services",52400
British Columbia,"Art, Culture, Recreation and Sport",25200
British Columbia,Sales and service,23200
British Columbia,"Trades, Transport and Equipment operators ",50400
British Columbia,"Natural resources, Agriculture and Production",26800
British Columbia,Manufacturing and Utilities,45600