Geography,Time,Total consumption,Food and beverages,Tobacco,Clothing,"Housing and utilities","Household appliance",Health,Transport,Communications,Recreation and culture,Education,Insurance and financial services,Others
Quebec,2017,"243,975.00","24,535.00","3,332.40","10,918.80","51,533.40","13,850.20","11,565.30","39,230.20","6,427.10","18,186.30","2,940.30","21,851.80","12,869.00"
Quebec,2018,"253,664.00","25,405.40","3,415.20","11,453.60","53,282.60","14,527.80","11,983.20","41,569.90","6,756.60","18,987.80","3,067.90","22,681.80","13,110.90"
Quebec,2019,"262,394.00","26,886.40","3,435.90","11,743.50","55,394.40","15,311.00","12,243.50","42,371.40","6,973.90","19,400.00","3,190.70","23,686.60","13,828.20"
Quebec,2020,"249,241.00","29,526.00","3,732.70","9,993.00","56,840.50","16,363.90","11,520.10","33,774.70","6,933.80","18,120.40","3,239.50","24,640.70","13,083.50"
Quebec,2021,"271,427.00","29,976.70","3,599.90","11,455.40","59,771.40","18,009.40","12,795.70","39,888.30","7,094.90","20,576.50","3,344.00","26,806.00","14,456.20"
Ontario,2000,"237,263.00","20,273.10","2,887.00","12,108.40","54,634.50","13,683.20","7,954.30","35,918.70","5,310.00","23,578.80","2,915.50","21,802.60","12,336.10"
Ontario,2001,"248,525.00","21,502.50","3,280.30","12,488.70","57,757.30","14,369.70","8,786.10","36,094.70","5,666.90","24,672.10","3,101.70","22,189.20","12,903.50"
Ontario,2002,"262,901.00","22,655.70","3,858.20","12,825.20","60,060.00","15,422.70","9,654.20","38,472.40","6,285.40","26,043.60","3,432.70","23,787.40","13,729.70"
Ontario,2003,"274,420.00","23,758.80","4,264.10","12,934.70","63,396.20","16,245.30","10,109.50","39,348.40","6,512.60","26,600.40","3,766.40","24,712.40","14,200.60"
Ontario,2004,"285,920.00","24,651.60","4,574.40","13,252.00","65,968.60","17,035.50","10,858.40","40,252.60","6,883.60","27,152.00","4,022.20","26,516.10","14,965.90"
Ontario,2005,"301,212.00","25,646.50","4,566.20","13,437.70","69,174.40","17,560.40","11,672.60","43,573.60","7,220.80","27,986.30","4,275.90","28,367.10","15,653.20"
Ontario,2006,"314,165.00","26,545.20","4,350.60","13,999.20","72,048.80","18,589.40","12,586.90","44,803.10","7,538.50","28,936.90","4,519.60","30,142.20","16,480.40"
Ontario,2007,"329,812.00","27,487.20","4,284.20","14,432.80","74,950.50","19,507.10","13,543.70","46,749.80","7,914.60","30,065.80","4,749.60","32,552.00","17,286.40"
Ontario,2008,"342,167.00","29,068.70","4,157.70","14,453.40","78,128.90","19,999.30","14,413.70","48,907.50","8,088.90","30,893.10","5,087.80","32,884.40","18,009.80"
Ontario,2009,"341,330.00","30,747.80","4,105.80","14,079.70","78,746.60","19,801.40","15,086.70","45,468.40","8,906.90","30,908.60","5,446.10","31,490.30","18,418.70"
Ontario,2010,"359,678.00","31,635.20","4,683.50","14,817.50","82,235.20","20,336.70","15,722.00","50,039.90","9,230.80","31,855.60","5,917.00","33,959.00","19,210.90"
Ontario,2011,"374,493.00","32,541.30","4,845.50","15,320.10","85,445.20","20,185.30","16,377.30","53,689.70","9,927.90","32,511.70","6,304.80","35,389.90","20,332.90"
Ontario,2012,"384,259.00","33,924.80","4,949.90","15,475.00","88,461.00","20,011.70","16,508.00","55,752.20","10,115.70","32,779.10","6,900.00","35,224.00","21,052.70"
Ontario,2013,"398,236.00","34,984.30","4,754.30","15,976.00","92,894.90","20,519.10","16,910.10","58,821.00","10,627.90","32,621.80","7,510.30","36,663.30","21,584.30"
Ontario,2014,"417,605.00","36,484.80","4,929.70","16,770.40","97,269.30","21,543.40","17,460.30","62,948.50","11,137.90","33,341.70","8,032.60","39,128.20","22,482.60"
Ontario,2015,"435,326.00","38,401.90","5,068.10","17,879.60","101,150.50","22,497.50","18,248.40","65,026.80","11,642.40","34,424.80","8,607.50","40,794.50","23,461.50"
Ontario,2016,"450,917.00","39,671.00","5,351.40","18,263.40","104,803.30","23,560.80","18,905.10","68,557.30","12,064.20","35,438.40","9,295.40","42,323.60","24,280.30"
Ontario,2017,"474,576.00","41,037.00","5,558.30","19,296.80","107,983.10","24,730.50","20,009.20","75,263.60","12,834.90","37,376.70","10,025.60","44,700.40","25,561.80"
Ontario,2018,"497,090.00","43,170.70","5,970.90","19,766.10","112,247.60","25,724.50","20,781.30","80,346.20","13,664.30","39,066.10","11,144.00","46,318.90","27,102.20"
Ontario,2019,"514,476.00","44,557.20","6,048.60","20,428.50","118,676.60","26,503.60","21,708.00","80,993.50","14,196.20","39,993.20","11,651.80","48,209.80","28,453.90"
Ontario,2020,"475,843.00","49,380.70","6,163.30","15,243.90","123,696.10","28,255.50","19,733.30","60,732.80","14,149.00","37,026.00","11,388.20","49,733.80","25,525.60"
Ontario,2021,"510,548.00","50,664.50","6,774.70","17,352.60","129,970.10","31,191.20","21,746.60","69,395.90","14,406.20","39,365.40","11,816.30","54,406.50","27,081.00"
Manitoba,2000,"20,070.00","2,132.90",401.7,938,"4,595.60","1,075.30",631.4,"2,613.90",432.3,"2,058.80",200.3,"1,586.70","1,154.90"
Manitoba,2001,"20,903.00","2,238.60",430.6,968.3,"4,781.60","1,129.00",651.8,"2,707.10",487,"2,147.90",211.9,"1,632.70","1,170.20"
Manitoba,2002,"21,975.00","2,312.10",515.8,"1,004.10","4,941.10","1,200.20",719.1,"2,926.40",519.5,"2,254.60",228.7,"1,737.10","1,224.20"
Manitoba,2003,"22,737.00","2,365.10",574.1,"1,027.10","5,113.90","1,255.50",758.4,"3,034.90",549.2,"2,303.10",241.4,"1,799.60","1,254.80"
Manitoba,2004,"23,845.00","2,451.10",584.4,"1,053.00","5,294.10","1,337.10",823.9,"3,244.80",571.2,"2,433.30",251.2,"1,913.00","1,310.50"
Manitoba,2005,"25,059.00","2,506.40",593.6,"1,087.50","5,522.90","1,407.80",880.8,"3,472.20",629.6,"2,613.00",266.7,"2,029.90","1,367.30"
Manitoba,2006,"26,224.00","2,567.50",588.1,"1,136.40","5,776.80","1,509.40",927.5,"3,651.70",651.5,"2,727.60",278.9,"2,128.00","1,418.20"
Manitoba,2007,"27,967.00","2,678.10",610.2,"1,191.30","6,131.20","1,617.30",989.5,"3,925.50",696.8,"2,937.00",286,"2,281.20","1,489.80"
Manitoba,2008,"29,288.00","2,801.40",597.3,"1,204.30","6,479.70","1,724.70","1,082.60","4,103.10",742.4,"3,115.20",292.3,"2,308.20","1,564.90"
Manitoba,2009,"29,856.00","2,971.80",614.4,"1,200.10","6,789.70","1,718.00","1,148.20","3,918.00",772,"3,172.20",305.5,"2,200.60","1,620.10"
Manitoba,2010,"31,374.00","3,033.70",660.7,"1,235.40","7,163.50","1,762.10","1,231.30","4,243.90",793,"3,251.90",331.4,"2,340.50","1,671.20"
Manitoba,2011,"32,759.00","3,114.50",675.6,"1,275.10","7,487.40","1,800.80","1,310.50","4,636.70",833.2,"3,305.90",350.2,"2,510.10","1,691.80"
Manitoba,2012,"33,907.00","3,104.00",699.2,"1,305.60","7,853.20","1,864.20","1,336.90","4,862.50",868.8,"3,348.50",368.7,"2,562.90","1,748.20"
Manitoba,2013,"35,499.00","3,165.10",769.4,"1,352.70","8,320.10","1,966.90","1,366.30","5,211.70",938.1,"3,371.90",391.5,"2,722.60","1,785.20"
Manitoba,2014,"37,101.00","3,313.30",778.4,"1,406.80","8,763.50","2,052.60","1,434.10","5,495.10",988.4,"3,470.00",408.4,"2,891.40","1,827.90"
Manitoba,2015,"38,018.00","3,365.20",799.4,"1,475.30","9,103.20","2,130.10","1,523.70","5,341.60","1,015.10","3,574.60",432.5,"3,018.10","1,890.50"
Manitoba,2016,"38,879.00","3,406.50",807.9,"1,460.20","9,466.10","2,176.50","1,603.80","5,374.40","1,045.90","3,649.20",451.5,"3,119.40","1,952.70"
Manitoba,2017,"40,679.00","3,522.90",815.8,"1,515.70","9,913.20","2,235.30","1,671.90","5,827.20","1,131.40","3,767.00",470.2,"3,282.20","2,036.20"
Manitoba,2018,"42,282.00","3,709.30",840.3,"1,532.40","10,380.40","2,288.00","1,702.70","6,166.90","1,183.70","3,942.10",502.2,"3,358.50","2,112.30"
Manitoba,2019,"43,378.00","3,788.40",845.9,"1,534.40","10,877.20","2,403.50","1,787.60","6,026.80","1,229.50","3,961.70",535.1,"3,430.60","2,162.40"
Manitoba,2020,"40,977.00","4,200.20",896.1,"1,117.90","11,402.20","2,528.30","1,719.30","5,026.30","1,228.30","3,500.40",549.5,"3,485.70","2,005.30"
Manitoba,2021,"44,639.00","4,205.00",880.8,"1,474.00","12,133.10","2,933.90","1,886.50","5,818.80","1,246.90","3,958.30",565.3,"3,684.50","2,205.40"
Saskatchewan,2000,"17,564.00","1,806.30",379.4,817,"4,021.30",980.1,525.1,"2,316.40",425.1,"1,794.80",155.4,"1,555.00",879.3
Saskatchewan,2001,"18,235.00","1,885.30",385.5,828.7,"4,238.90","1,006.00",579.9,"2,380.50",450.2,"1,856.30",172.3,"1,595.60",909.4
Saskatchewan,2002,"19,198.00","1,944.50",465.6,857.9,"4,391.50","1,052.80",625.4,"2,554.20",481.9,"1,945.90",182.6,"1,698.50",959.8
Saskatchewan,2003,"20,032.00","1,994.20",514.2,866.3,"4,554.60","1,089.50",681.3,"2,774.30",492.7,"2,030.40",197.4,"1,753.30",988
Saskatchewan,2004,"20,686.00","2,047.10",519.5,874.6,"4,692.10","1,146.60",729.7,"2,798.70",522.2,"2,121.00",205.4,"1,859.70","1,032.50"
Saskatchewan,2005,"21,649.00","2,104.30",509.6,908.7,"4,835.40","1,225.90",780.7,"3,040.60",555.8,"2,200.70",209.1,"1,984.80","1,068.40"
Saskatchewan,2006,"22,789.00","2,155.70",511.7,951.3,"5,057.10","1,319.30",846.9,"3,230.40",585.3,"2,357.30",213,"2,076.40","1,107.70"
Saskatchewan,2007,"24,685.00","2,271.80",529.8,"1,002.90","5,444.40","1,447.60",930.3,"3,597.30",612.6,"2,594.70",215.5,"2,246.00","1,175.00"
Saskatchewan,2008,"26,673.00","2,392.50",548.7,"1,035.30","5,967.00","1,592.00","1,019.40","3,965.70",672.1,"2,814.50",218.7,"2,312.30","1,271.50"
Saskatchewan,2009,"27,484.00","2,544.10",556.2,"1,043.30","6,524.20","1,594.60","1,094.60","3,717.40",726.3,"2,880.10",229.7,"2,182.70","1,323.60"
Saskatchewan,2010,"28,991.00","2,592.60",604.3,"1,062.80","6,961.00","1,606.40","1,163.10","4,040.00",727.4,"2,932.10",249.9,"2,370.90","1,378.40"
Saskatchewan,2011,"30,470.00","2,734.10",618.7,"1,114.60","7,266.10","1,637.20","1,208.40","4,561.20",773.9,"3,040.10",269.1,"2,394.50","1,398.10"
Saskatchewan,2012,"32,061.00","2,755.80",628.7,"1,205.60","7,647.60","1,751.40","1,264.90","5,028.90",825.1,"3,163.90",292.2,"2,411.40","1,477.70"
Saskatchewan,2013,"33,877.00","2,900.90",672.3,"1,294.80","8,235.50","1,809.90","1,319.80","5,361.30",859.2,"3,232.40",317.2,"2,596.50","1,540.60"
Saskatchewan,2014,"35,480.00","3,043.70",705,"1,360.70","8,807.40","1,864.30","1,376.60","5,506.50",919.3,"3,300.50",334.3,"2,737.70","1,607.60"
Saskatchewan,2015,"36,070.00","3,094.80",728.7,"1,405.30","9,238.10","1,904.70","1,423.00","5,173.80",985.7,"3,326.20",352.3,"2,852.10","1,653.40"
Saskatchewan,2016,"36,522.00","3,121.90",744.4,"1,380.80","9,493.60","1,943.60","1,477.50","5,058.10","1,030.20","3,305.10",369.6,"2,947.60","1,709.10"
Saskatchewan,2017,"37,709.00","3,138.30",786.4,"1,388.20","9,821.00","1,946.10","1,516.30","5,462.70","1,081.70","3,338.50",388.7,"3,063.30","1,791.90"
Saskatchewan,2018,"39,002.00","3,255.20",833.1,"1,403.70","10,090.10","1,943.20","1,555.40","5,690.70","1,136.10","3,424.00",412.8,"3,256.70","1,865.30"
Saskatchewan,2019,"39,824.00","3,451.90",839.5,"1,411.40","10,283.60","2,044.70","1,613.10","5,671.50","1,187.30","3,454.70",435.3,"3,308.00","1,897.80"
Saskatchewan,2020,"37,598.00","3,715.60",865.2,"1,167.70","10,476.30","2,117.80","1,562.30","4,769.30","1,189.90","3,124.80",405.7,"3,335.40","1,768.10"
Saskatchewan,2021,"40,588.00","3,905.30",815.9,"1,426.40","10,685.60","2,418.70","1,731.80","5,587.90","1,217.90","3,522.90",423.8,"3,566.50","1,929.90"
Alberta,2000,"63,019.00","5,863.20","1,046.60","3,143.60","14,796.40","3,589.90","2,154.70","9,174.40","1,316.80","6,808.50",788.8,"5,114.30","2,708.30"
Alberta,2001,"66,888.00","6,290.70","1,101.90","3,355.70","15,382.70","3,925.40","2,344.60","9,748.80","1,445.40","7,385.40",846.5,"5,409.90","2,973.10"
Alberta,2002,"71,447.00","6,619.00","1,528.10","3,472.70","16,150.60","4,257.80","2,533.10","10,573.90","1,629.90","7,841.20",902,"5,774.40","3,183.60"
Alberta,2003,"75,339.00","6,930.50","1,703.20","3,588.50","17,416.80","4,470.20","2,728.40","10,814.40","1,731.90","8,237.60",971,"5,950.10","3,346.50"
Alberta,2004,"80,111.00","7,266.90","1,724.40","3,766.00","18,208.60","4,803.80","2,956.70","11,643.90","1,933.80","8,825.30","1,030.20","6,482.50","3,586.70"
Alberta,2005,"87,722.00","7,626.20","1,706.40","4,121.30","19,179.70","5,284.30","3,248.40","13,613.70","2,198.90","9,667.90","1,094.60","7,213.60","3,867.60"
Alberta,2006,"97,388.00","8,140.30","1,870.00","4,583.70","20,691.00","5,941.90","3,645.20","15,711.90","2,527.70","10,760.10","1,145.80","7,986.70","4,222.90"
Alberta,2007,"107,103.00","8,692.00","1,986.50","4,986.70","23,432.70","6,458.80","4,001.60","17,268.70","2,645.80","11,603.60","1,199.20","8,937.10","4,589.60"
Alberta,2008,"112,518.00","9,222.10","2,048.70","5,004.50","26,199.00","6,575.90","4,250.40","17,203.80","2,802.80","11,677.20","1,291.40","9,112.50","4,910.40"
Alberta,2009,"110,892.00","9,829.70","2,061.80","4,834.20","26,816.70","6,276.20","4,482.90","14,812.90","2,906.40","11,441.80","1,414.70","8,809.60","5,038.10"
Alberta,2010,"116,038.00","10,042.60","2,081.50","5,058.30","27,354.90","6,395.00","4,798.40","16,263.80","3,047.80","11,635.90","1,544.30","9,833.20","5,274.90"
Alberta,2011,"122,851.00","10,534.50","2,072.80","5,335.60","28,682.80","6,668.50","5,006.30","18,084.20","3,164.80","12,019.30","1,681.80","10,624.70","5,450.30"
Alberta,2012,"129,511.00","11,016.30","2,088.30","5,682.30","29,971.20","6,996.80","5,236.10","19,791.70","3,293.60","12,602.70","1,768.70","10,626.00","5,792.90"
Alberta,2013,"138,115.00","11,704.50","2,095.90","5,906.60","31,912.10","7,366.50","5,509.20","21,700.70","3,496.50","12,952.20","1,868.10","11,680.90","6,098.50"
Alberta,2014,"146,663.00","12,506.30","2,236.60","6,239.70","34,188.10","7,790.60","5,783.00","23,345.40","3,678.00","13,461.00","1,942.30","12,493.20","6,400.80"
Alberta,2015,"148,701.00","12,728.70","2,450.30","6,224.10","35,854.90","7,895.80","6,111.60","21,317.70","3,877.00","13,435.60","2,012.10","13,287.30","6,580.30"
Alberta,2016,"148,702.00","12,726.20","2,640.30","6,105.40","36,775.00","7,881.20","6,446.80","20,413.80","3,997.50","13,187.70","2,046.30","13,387.80","6,829.00"
Alberta,2017,"154,356.00","13,229.90","2,686.40","6,160.20","37,811.20","8,139.00","6,689.60","22,511.90","4,269.70","13,583.60","2,107.10","13,539.50","7,184.40"
Alberta,2018,"159,457.00","13,622.80","2,731.20","6,285.00","39,173.00","8,265.00","6,876.20","23,630.60","4,433.20","13,950.60","2,201.70","14,105.60","7,536.40"
Alberta,2019,"162,034.00","14,183.30","2,732.20","6,330.90","40,512.60","8,344.70","7,082.80","22,877.90","4,535.60","13,986.90","2,268.40","14,387.20","7,785.90"
Alberta,2020,"153,032.00","15,431.20","2,970.60","4,898.70","41,716.20","8,608.30","6,335.60","17,869.00","4,509.80","13,045.50","2,135.10","14,455.90","6,983.40"
Alberta,2021,"163,772.00","15,230.40","2,718.10","5,793.00","43,296.30","9,666.70","6,901.00","20,564.40","4,576.00","14,518.30","2,218.80","15,607.90","7,670.00"
British Columbia,2000,"80,217.00","7,876.10","1,344.20","3,602.70","20,177.40","4,399.30","2,806.00","11,150.40","1,759.10","7,799.80","1,083.30","6,728.20","3,855.00"
British Columbia,2001,"83,288.00","8,307.70","1,346.10","3,789.00","20,709.60","4,691.90","2,968.80","11,288.60","1,853.80","8,266.80","1,134.00","6,915.40","4,117.00"
British Columbia,2002,"88,517.00","8,658.30","1,576.50","3,879.50","21,974.40","5,041.70","3,182.30","12,299.60","2,065.60","8,764.70","1,262.30","7,493.90","4,359.70"
British Columbia,2003,"92,762.00","8,955.90","1,690.40","3,953.30","22,889.80","5,272.10","3,398.50","12,855.10","2,168.30","8,946.00","1,441.30","7,782.20","4,566.00"
British Columbia,2004,"98,273.00","9,327.60","1,684.00","4,069.70","23,984.20","5,644.30","3,687.60","13,886.20","2,295.10","9,427.20","1,578.20","8,428.00","4,816.30"
British Columbia,2005,"103,648.00","9,605.50","1,659.40","4,200.40","25,402.30","5,955.40","3,962.30","14,417.20","2,620.90","9,901.20","1,695.20","9,154.50","5,087.50"
British Columbia,2006,"111,068.00","10,035.70","1,691.20","4,468.20","27,115.00","6,487.60","4,307.80","15,512.90","2,767.50","10,664.30","1,779.90","9,878.90","5,469.90"
British Columbia,2007,"118,885.00","10,465.30","1,704.90","4,738.30","29,228.10","6,907.80","4,612.00","16,699.00","2,892.40","11,368.70","1,881.00","10,805.70","5,773.10"
British Columbia,2008,"123,428.00","11,043.00","1,643.40","4,712.00","31,367.70","7,017.70","4,839.40","16,437.20","3,049.90","11,534.70","2,017.30","10,927.90","6,007.50"
British Columbia,2009,"124,965.00","11,714.10","1,615.30","4,598.10","33,486.20","6,791.40","5,006.40","14,976.30","3,177.20","11,576.80","2,142.00","10,471.10","6,167.30"
British Columbia,2010,"131,251.00","11,955.90","1,746.80","4,816.50","35,501.80","6,918.50","5,264.60","16,312.30","3,238.80","12,021.30","2,291.00","11,330.90","6,411.70"
British Columbia,2011,"136,496.00","12,236.20","1,848.30","5,018.20","37,264.80","6,881.70","5,527.40","17,428.50","3,452.50","12,156.90","2,462.50","11,994.00","6,592.50"
British Columbia,2012,"140,749.00","12,549.40","1,880.40","5,088.00","38,825.70","7,029.40","5,718.20","18,259.70","3,517.10","12,253.20","2,580.50","11,975.90","6,868.00"
British Columbia,2013,"145,388.00","12,903.30","1,889.20","5,212.10","40,538.60","7,237.30","5,779.70","19,057.90","3,666.20","12,323.60","2,748.00","12,619.90","7,083.30"
British Columbia,2014,"152,839.00","13,673.30","1,977.00","5,527.20","42,463.80","7,732.20","6,014.80","20,280.00","3,883.90","12,778.30","2,908.10","13,231.20","7,400.70"
British Columbia,2015,"161,021.00","14,687.50","2,064.60","6,131.00","44,414.90","8,369.40","6,366.00","21,074.00","4,131.20","13,377.30","3,072.30","13,847.60","7,759.10"
British Columbia,2016,"167,899.00","15,107.00","2,116.00","6,388.90","46,654.90","8,916.90","6,707.40","22,265.40","4,293.00","13,889.60","3,284.00","14,256.00","8,163.50"
British Columbia,2017,"178,021.00","15,830.10","2,164.30","6,638.90","49,372.70","9,542.00","7,065.20","24,741.10","4,604.20","14,379.70","3,543.60","15,070.10","8,668.60"
British Columbia,2018,"187,025.00","16,280.90","2,385.60","7,209.70","52,439.40","9,945.00","7,385.50","26,171.00","4,894.30","15,079.90","3,848.20","15,732.40","9,087.20"
British Columbia,2019,"194,515.00","16,790.10","2,407.80","7,418.30","56,626.80","10,292.20","7,894.40","26,029.20","5,092.80","15,445.50","4,116.60","16,343.30","9,595.80"
British Columbia,2020,"189,917.00","19,259.30","2,541.50","6,314.40","60,370.80","10,939.90","7,348.40","20,573.90","5,085.90","14,646.10","4,061.40","16,906.70","9,024.80"
British Columbia,2021,"208,038.00","19,635.90","2,880.30","8,035.00","63,381.30","12,287.50","8,152.90","24,461.90","5,164.80","16,615.60","4,127.40","18,563.20","10,116.60"
